CO_PROCEDIMENTO,NO_PROCEDIMENTO,TB_COMPLEXIDADE,TP_SEXO,QT_MAXIMA_EXECUCAO,QT_DIAS_PERMANENCIA,QT_PONTOS,VL_IDADE_MINIMA,VL_IDADE_MAXIMA,VL_SH,VL_SA,VL_SP,CO_FINANCIAMENTO,CO_RUBRICA,QT_TEMPO_PERMANENCIA,DT_COMPETENCIA
0101010010,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO BÁSICA                                                                                                                                                                                               ,1,N,9999,9999,0000,9999,9999000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101010028,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA                                                                                                                                                                                        ,2,I,9999,9999,0000,0084,1571000000,0000000000,0270000000,00,0006  ,    ,999920,1806
0101010036,PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO                                                                                                                                                                                                              ,1,I,9999,9999,0000,0072,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101020015,AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL                                                                                                                                                                                                            ,1,I,9999,9999,0000,0048,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101020023,AÇÃO COLETIVA DE BOCHECHO FLUORADO                                                                                                                                                                                                                        ,1,I,9999,9999,0000,0084,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101020031,AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA                                                                                                                                                                                                          ,1,I,9999,9999,0000,0036,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101020040,AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA                                                                                                                                                                                                ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101020058,APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)                                                                                                                                                                                                                     ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101020066,APLICAÇÃO DE SELANTE (POR DENTE)                                                                                                                                                                                                                          ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101020074,APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)                                                                                                                                                                                                         ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101020082,EVIDENCIAÇÃO DE PLACA BACTERIANA                                                                                                                                                                                                                          ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101020090,SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA                                                                                                                                                                                                                 ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101030010,VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO                                                                                                                                                                                                         ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101030029,VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR                                                                                                                                                                                        ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101040024,AVALIAÇÃO ANTROPOMÉTRICA                                                                                                                                                                                                                                  ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101040032,COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)                                                                                                                                                                                                             ,2,F,9999,9999,0000,0144,0599000000,0000000000,0300000000,00,0006  ,    ,999920,1806
0101040040,PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)                                                                                                                                                                                                             ,2,N,9999,9999,0000,9999,9999000000,0000000000,1106000000,00,0006  ,    ,999920,1806
0101040059,ADMINISTRAÇÃO DE VITAMINA A                                                                                                                                                                                                                               ,1,I,9999,9999,0000,0006,0599000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101040067,APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES                                                                                                                                                                                                               ,1,I,9999,9999,0000,0006,0599000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101050011,PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA                                                                                                                                                                                                        ,1,I,9999,9999,0000,0072,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101050020,TERAPIA COMUNITÁRIA                                                                                                                                                                                                                                       ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
0101050038,DANÇA CIRCULAR/BIODANÇA                                                                                                                                                                                                                                   ,1,I,9999,9999,0000,0000,1571000000,0000000000,0000000000,00,0001  ,    ,999920,1806
